Fecha,Agente,Tipo de ejercicio,Tipo de practica,Numero de practica,Sensor,Valor de Sensor,Tiempo,Musculo
,,,,,,,,
,,,,,,,,
,,,,,,,,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8291,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8324,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8343,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8368,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8396,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8425,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8454,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8482,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8511,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8540,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8568,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8597,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8627,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8661,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8684,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8712,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8741,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8770,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8798,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8830,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8856,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8885,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8913,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8941,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,8970,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9002,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9036,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9067,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9095,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9122,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9151,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9180,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9208,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9237,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9266,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9294,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9323,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9352,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9380,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9408,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9437,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9466,
4/5/2015,Alejandro,,Biceps,0,Mioelectrico,32,9495,
