Fecha,Agente,Tipo de ejercicio,Musculo,Numero de practica,Sensor,Valor de Sensor,Tiempo
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20046
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20076
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20109
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20140
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20174
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20217
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20260
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20290
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20326
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20362
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20410
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20443
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20478
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20511
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20550
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20588
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20629
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20663
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20699
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20747
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,255,20781
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,247,20815
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,236,20856
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,231,20914
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,223,20952
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,216,20984
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,209,21019
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,205,21047
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,199,21084
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,191,21123
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,184,21165
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,174,21236
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,172,21264
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,167,21298
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,161,21331
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,157,21368
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,152,21405
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,146,21443
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,136,21482
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,131,21516
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,124,21552
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,116,21589
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,110,21634
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,98,21700
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,92,21733
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,86,21768
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,81,21800
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,72,21836
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,69,21900
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,67,21941
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,67,21988
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22042
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22067
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22101
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22134
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22168
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22202
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22238
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,22270
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,65,22313
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,62,22339
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,58,22374
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,53,22406
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,46,22440
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,41,22473
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,37,22505
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,31,22540
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,24,22573
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,23,22622
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,21,22656
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,18,22691
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,16,22724
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,12,22760
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,9,22791
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,6,22833
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,4,22870
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,1,22926
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,22961
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,22995
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23036
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23073
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23108
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23144
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23178
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23211
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23245
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23277
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23313
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23353
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23395
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23429
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,0,23463
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,7,23500
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,14,23548
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,20,23581
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,29,23628
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,38,23664
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,49,23699
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,59,23750
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,69,23782
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,80,23816
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,94,23850
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,102,23914
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,110,23948
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,121,23988
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,129,24020
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,137,24054
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,144,24085
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,151,24119
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,154,24150
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,158,24184
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,164,24227
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,168,24259
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,173,24304
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,182,24371
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,184,24403
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,185,24436
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,185,24469
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,184,24503
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,181,24556
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,176,24589
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,173,24621
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,164,24654
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,153,24708
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,145,24741
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,134,24773
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,125,24805
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,115,24841
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,109,24873
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,101,24906
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,93,24948
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,88,24977
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,80,25013
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,75,25040
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,66,25080
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,59,25115
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,53,25160
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,51,25192
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,51,25225
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,52,25268
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,57,25310
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,62,25342
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,68,25380
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,78,25430
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,85,25458
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,93,25510
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,101,25543
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,110,25575
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,119,25612
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,131,25648
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,140,25685
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,152,25726
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,163,25762
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,176,25810
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,185,25842
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,198,25882
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,207,25920
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,217,25963
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,222,25999
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,226,26031
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,230,26069
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,231,26111
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,231,26144
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,229,26179
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,223,26215
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,215,26253
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,205,26295
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,195,26327
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,181,26369
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,166,26406
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,157,26447
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,146,26480
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,133,26516
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,121,26556
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,113,26585
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,106,26622
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,100,26663
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,97,26701
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,94,26739
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,91,26782
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,87,26823
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,85,26864
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,83,26914
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,26948
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,26990
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27022
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27055
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27086
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27124
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27167
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27215
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27274
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27300
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27332
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27395
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27432
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27466
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27499
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27533
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27566
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27601
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27634
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27666
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27700
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27733
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27768
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27802
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27836
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27872
6/4/2015,Alejandro,Practica,Biceps,,Mioelectrico,82,27907
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12594
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12629
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12662
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12696
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12728
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12758
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12797
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12825
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12857
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12884
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12916
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12952
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,12996
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13020
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13047
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13078
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13110
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13176
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13211
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13246
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13265
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13298
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13349
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13387
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13420
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13453
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13487
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13520
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13555
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13585
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13618
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13648
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13684
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13716
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13747
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13779
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13806
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13837
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13867
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13901
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13936
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,13971
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14006
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14039
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14073
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14107
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14154
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14174
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14210
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14249
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14286
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14323
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14357
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14392
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14423
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,81,14459
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,82,14491
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,85,14526
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,88,14565
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,92,14599
6/4/2015,Alejandro,Practica,Biceps,0,Mioelectrico,97,14635
